gigadelic,hyper,16.32,1985
Elemental Creation,another,16.25,3787
Chrono Diver -PENDULUMs-,another,16.04,3950
Xperanza,another,15.89,2911
Antigravity,another,15.82,2830
嘆きの樹,another,15.41,3556
CODE:1 [revision1.0.1],another,15.39,2827
THE DEEP STRIKER,leggendaria,15.27,3162
Devil's Gear,another,15.25,3188
Innocent Walls,hyper,15.01,2278
AIR RAID FROM THA UNDAGROUND,leggendaria,14.87,2709
Trill auf G,another,14.7,2969
紫陽花 -AZISAI-,another,14.7,2649
Initiation,another,14.32,3589
Welcome,leggendaria,14.31,3024
One More Lovely,another,14.29,2582
255,another,14.26,2981
TOXIC VIBRATION,another,14.26,3437
Lethal Weapon,another,14.23,2926
疾風迅雷,another,14.17,2654
fallen leaves -IIDX edition-,another,14.15,3103
YAKSHA,another,14.14,3556
海神,another,14.12,2897
PLEASE DON'T GO,another,14.11,2225
Gravigazer,another,14.05,2726
Blue Rain,leggendaria,14.01,3026
†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT),another,13.87,3263
DIAMOND CROSSING,another,13.84,2818
龍と少女とデコヒーレンス,leggendaria,13.81,3047
We're so Happy (P*Light Remix) IIDX ver.,another,13.79,3372
Scripted Connection⇒ A mix,another,13.77,2800
Cosmic Cat,leggendaria,13.74,2935
Evans,another,13.61,2560
gigadelic,another,13.42,2313
QUANTUM TELEPORTATION,leggendaria,13.42,3281
お菓子の王国,another,13.28,3750
Slipstream,another,13.26,3239
SAY BAY,another,13.2,2588
Say YEEEAHH,another,13.2,2983
Triple Counter,another,13.13,3584
Ubertreffen,leggendaria,13.12,2942
CHRONO DIVER -NORNIR-,leggendaria,13.11,3970
Please Welcome Mr.C,another,13.09,2707
Bad Maniacs,another,13.06,2945
BLUE DRAGON(雷龍RemixIIDX),another,12.73,3071
九尾狐夜行,another,12.56,2704
Feel The Beat,another,12.47,3255
Proof of the existence,another,12.45,2979
Boomy and The Boost,another,12.42,3247
NEO GENERATOR SEVEN,another,12.4,3006
Life Is A Game ft.DD"ナカタ"Metal,another,12.32,3157
The Sampling Paradise,another,12.02,2748
Persephone,another,11.48,2737
Arca,another,11.41,2848
Konzert V,another,11.35,3041
FIRE FIRE,another,11.32,2499
reunion,another,11.22,2982
Verflucht,another,11.14,3210
ELECTRIC MASSIVE DIVER,another,11.12,3348
Thunderbolt,another,11.07,3398
Hollywood Galaxy,another,11.05,2476
cinder,another,10.99,2847
雪月花,another,10.96,2288
Kung-fu Empire,leggendaria,10.93,3554
Little Star,another,10.73,2908
電人、暁に斃れる。,another,10.72,3068
Sky High,another,10.68,3454
LASER CRUSTER,another,10.64,2924
SOLID STATE SQUAD,another,10.63,3234
Painful Fate,another,10.45,3026
天空の夜明け,another,10.32,3685
ALBIDA,another,10.27,2720
Idola,another,9.93,3246
童話回廊,another,9.86,2831
EXUSIA,another,9.85,3492
EBONY & IVORY,another,9.76,2703
Dynamite,another,9.73,3472
Liberation,another,9.73,3388
Rave Cannon,another,9.71,3022
TRIUMPH,another,9.71,3066
Colors (radio edit),another,9.64,2238
リリーゼと炎龍レーヴァテイン,another,9.61,3150
トリカゴノ鳳凰,another,9.53,3436
POSSESSION,another,9.45,2705
PUNISHER,another,9.45,3223
DRUNK MONKY,another,9.43,2093
ANCHOR,another,9.25,3262
RED ZONE,leggendaria,9.19,2785
Ancient Scapes,another,9,3165
FAKE TIME,another,8.94,2190
Last Dance,another,8.82,2934
めいさいアイドル☆あいむちゃん♪,another,8.81,3054
spiral galaxy,leggendaria,8.8,3396
Despair of ELFERIA,another,8.74,3727
Snakey Kung-fu,another,8.7,3114
waxing and wanding,leggendaria,8.6,3556
invoker,another,8.55,2887
X,another,8.52,3470
〆,another,8.22,3338
G59,another,8.17,3556
旋律のドグマ～Miserables～,another,7.96,3560
狂イ咲ケ焔ノ華,another,7.93,3307
The Limbo,another,7.81,3024
refrain,another,7.75,3302
A,another,7.63,2241
イザナミノナゲキ,another,7.58,2954
SpaceLand☆TOYBOX,another,7.57,2670
Colorful Cookie,another,7.32,3153
DOMINION,another,7.27,2910
THE BRAVE MUST DIE,another,7.27,3690
BITTER CHOCOLATE STRIKER,another,7.26,3538
Venom,another,7.25,2887
それは花火のような恋,another,7.24,3514
抱きしめてモナムール,another,7.18,3751
KILL EACH OTHER,another,7.16,3459
Summerlights(IIDX Edition),another,7.15,2810
津軽雪,another,6.85,3473
THE DAY OF JUBILATIONS,another,6.79,3125
sakura storm,another,6.58,2179
M4K3 1T B0UNC3,another,6.49,2749
#MAGiCVLGiRL_TRVP_B3VTZ,another,6.41,3118
Sounds Of Summer,another,6.36,2691
SYNC-ANTHEM,another,6.36,3317
V,another,6.19,2702
深淵に捧ぐレクイエム,another,6.19,2733
neu,another,6.11,3554
Close the World feat.a☆ru,another,6.04,3092
oratio,another,6.03,2654
moon_child,another,6.02,2312
Catch Our Fire!,another,5.99,3352
TROOPERS,another,5.89,2660
Adularia,another,5.77,2577
AA -rebuild-,another,5.73,3236
黒髪乱れし修羅となりて,another,5.7,3103
刃図羅,another,5.59,3105
Highcharge Divolt,another,5.49,2527
表裏一体！？怪盗いいんちょの悩み,another,5.42,3227
神謳 -RESONANCE-,another,5.36,3640
Raspberry Railgun,another,5.31,2856
不沈艦CANDY,another,5.23,2990
L.F.O,another,4.87,3000
たまゆら,another,4.87,2502
T-REX vs Velociraptor (In the Far east euphoria),another,4.79,2910
Valanga,another,4.74,2928
TECHNO Style Essentials,another,4.7,2583
dAuntl3ss,another,4.64,3156
Carry Me Away,another,4.55,2868
entelecheia,another,4.5,2947
Symmetry,another,4.45,2950
F,another,4.37,3223
FUZIN RIZIN,another,4.33,3429
GAIA,another,4.3,2980
RAIN,another,4.28,2947
シュレーディンガーの猫,another,4.2,3053
GOLDEN CROSS,another,4.11,3139
quaver♪,another,3.89,3103
DARK LEGACY,another,3.83,3250
Shooting Fireball,another,3.78,3525
Little Little Princess,leggendaria,3.64,3460
ZZ,another,3.6,2740
HARD BRAIN,another,3.54,3404
仮想空間の旅人たち,leggendaria,3.42,3454
Apocalypse,another,3.41,3225
NNRT,another,3.31,3165
GENE,another,3.08,3882
True Blue,another,3.06,3375
WONDER WALKER,another,3,3415
TIEFSEE,another,2.88,3116
ΕΛΠΙΣ,another,2.88,2845
SPECIAL SUMMER CAMPAIGN!,another,2.84,2683
Nightmare before oversleep,another,2.48,2668
Broken,another,2.34,2842
Visterhv,another,2.33,3324
Dr. Chemical & Killing Machine,another,2.25,3022
Super Rush,another,2.22,3184
紅牡丹,another,2.1,2569
NINJA IS DEAD IIDX ver.,another,1.92,2702
Candy Galy,another,1.88,3197
カゴノトリ～弐式～,another,1.43,2357
Todestrieb,another,1.39,3082
AA,another,1.3,3262
Ristaccia,another,1.28,2464
Broken Sword,another,1.21,3355
Drastic Dramatic,another,1.05,3139
Steel Edge,another,0.73,2852
GRID KNIGHT,leggendaria,0.23,3101
Primitive Vibes,another,0.14,2782
Rampage,another,-0.06,null
千年ノ理,another,-4.56,null
Beat Radiance,leggendaria,-6.48,null
mosaic,another,-8.68,null
